Age,Sex
49,1
30,1
66,3
24,2
18,2
151,4
23,1
60,2
44,2
20,2
37,2
97,3
18,2
160,5
28,2
71,3
149,7
40,1
44,1
110,4
16,1
3,2
105,4
35,1
165,7
75,3
125,5
50,1
21,2
182,6
83,3
31,2
57,2
47,1
44,3
62,2
181,7
96,3
34,2
121,6
52,3
70,4
69,3
31,2
20,1
67,4
71,2
167,6
70,4
40,1
230,7
83,5
104,6
28,1
215,11
42,2
49,1
51,1
66,4
297,10
63,1
15,1
128,5
92,3
24,2
80,2
104,3
70,2
37,1
79,3
69,4
34,2
77,2
29,2
24,1
55,1
28,1
71,2
36,1
35,2
108,3
37,2
75,3
89,3
106,3
18,3
14,1
47,2
86,3
19,1
329,19
330,12
129,6
-1,2
35,2
39,2
217,8
45,2
252,8
27,1
139,6
260,7
32,1
23,1
52,2
69,3
143,9
142,5
2,1
85,3
34,2
193,8
53,4
175,7
222,11
22,2
11,2
67,3
22,2
65,4
93,8
175,3
126,5
203,10
22,1
33,2
52,1
25,2
139,9
74,3
22,2
79,3
90,5
51,1
65,3
42,2
34,2
70,4
42,4
77,2
42,4
65,1
19,1
14,1
87,6
24,1
25,2
14,2
60,2
40,1
21,4
77,2
36,1
-1,1
23,2
213,13
22,1
35,1
83,4
47,1
36,1
16,1
84,4
111,4
69,3
36,1
22,1
40,1
61,1
41,2
35,1
120,7
124,3
28,1
69,2
38,1
18,1
16,2
101,3
89,4
-1,1
55,2
22,1
18,1
94,3
119,4
43,1
49,1
27,1
44,3
36,2
42,1
38,1
63,2
17,1
20,1
28,1
30,1
45,1
35,2
19,1
22,1
21,1
73,2
21,1
75,2
209,5
64,3
38,1
40,1
37,1
22,1
18,1
58,3
30,1
42,1
84,3
39,1
34,1
34,1
35,1
87,3
22,1
21,1
47,1
67,3
34,2
38,2
23,2
10,1
134,4
20,2
18,1
36,3
80,6
82,4
20,2
21,2
71,3
44,2
28,1
24,1
25,2
89,2
110,4
54,2
56,2
104,5
36,1
39,2
32,2
42,2
30,1
66,3
33,2
53,2
77,2
144,5
74,4
53,2
35,2
28,1
22,2
26,1
20,1
36,1
211,8
43,3
75,4
47,1
46,3
18,2
53,1
104,3
125,6
20,4
40,1
44,2
170,8
61,2
34,2
25,2
44,2
25,1
65,3
40,1
165,7
94,2
56,2
232,6
74,1
43,2
24,2
76,3
203,7
59,2
72,3
60,2
109,3
2,1
49,2
47,2
26,2
113,5
81,1
52,2
107,3
65,4
63,1
28,2
49,1
54,1
49,4
62,4
65,4
108,4
38,1
56,4
136,7
57,1
47,2
46,2
52,2
101,5
17,1
15,1
79,2
110,8
22,2
31,1
144,5
161,10
21,1
47,1
21,2
35,1
68,2
42,3
49,1
46,3
63,1
82,1
33,2
22,1
35,2
17,2
89,5
21,2
99,2
23,2
46,2
50,3
92,3
71,3
26,1
18,1
45,1
155,7
35,1
21,1
21,2
22,1
26,1
96,3
47,1
44,1
36,2
20,1
80,5
19,1
120,5
-2,2
80,3
59,1
92,3
79,7
22,1
34,1
16,2
90,6
55,2
112,7
20,1
86,4
69,2
18,1
24,1
62,2
61,3
51,3
39,1
31,2
70,4
33,1
47,1
22,1
19,1
29,1
21,2
20,1
20,1
17,1
43,1
25,1
24,1
22,2
27,2
29,1
33,1
43,1
36,1
41,1
25,2
24,1
35,2
20,2
22,1
43,2
52,2
40,2
44,4
36,1
69,1
27,2
41,2
86,4
89,3
77,1
54,4
46,1
127,3
33,2
47,1
17,1
54,1
69,2
96,3
116,5
45,2
41,2
26,1
83,2
44,2
46,1
96,5
51,1
91,3
48,1
22,2
49,4
41,1
122,2
19,2
42,1
50,1
42,2
9,1
33,1
132,4
123,3
82,2
94,4
54,3
14,1
26,2
37,1
69,3
45,2
49,3
54,2
27,2
81,3
18,1
20,1
29,1
33,1
9,2
21,2
25,2
36,1
116,3
67,4
43,2
46,1
42,1
45,1
34,2
174,7
24,1
20,2
23,1
34,2
70,4
31,1
14,1
24,1
43,2
17,2
24,1
20,1
76,2
24,2
38,1
37,2
110,5
25,1
84,2
19,2
157,5
23,1
27,1
34,3
15,1
22,1
14,1
44,1
144,5
44,1
52,3
86,2
185,6
23,2
33,1
139,5
38,1
24,2
120,5
160,7
176,7
68,6
36,1
71,5
24,2
74,2
31,1
88,5
100,4
302,11
60,6
30,2
94,4
82,2
25,2
54,1
72,2
83,2
165,8
75,4
43,2
36,2
26,2
39,5
61,1
153,4
87,2
28,1
83,7
50,2
46,4
48,1
69,4
42,2
47,1
77,3
25,1
31,1
47,4
55,2
72,2
111,3
52,5
100,4
-1,2
80,4
67,3
58,2
91,4
72,6
210,5
5,1
59,1
43,3
20,2
67,1
50,1
60,2
32,2
20,1
39,1
139,3
23,2
65,4
87,3
21,1
70,1
161,3
60,3
34,2
67,4
56,4
49,1
7,2
116,7
74,1
19,2
66,4
94,2
25,1
28,1
25,2
121,3
22,1
93,2
81,3
18,2
55,1
39,5
27,1
93,5
124,9
16,2
225,7
152,5
163,3
49,2
40,2
89,4
155,10
49,4
37,2
40,2
109,2
21,1
33,1
48,4
145,7
20,1
21,1
84,3
120,6
116,9
179,5
172,5
29,1
42,2
68,1
120,3
72,5
115,3
50,1
144,5
18,1
32,2
22,1
48,2
290,10
60,1
71,2
114,2
34,1
112,4
99,4
41,1
98,4
56,2
33,3
31,1
49,1
-1,2
18,2
70,4
57,2
47,3
85,6
42,1
46,3
157,6
93,2
19,1
56,1
19,1
61,3
18,1
34,4
49,1
25,2
37,1
93,7
15,1
39,1
48,2
77,3
65,2
24,1
52,2
20,1
51,2
19,1
41,1
20,1
40,2
18,1
33,1
-1,1
53,4
35,1
27,1
30,1
35,1
49,1
44,1
93,1
85,3
27,2
33,1
69,3
40,2
70,2
106,5
35,1
39,1
145,6
94,3
76,2
22,1
21,2
80,3
24,2
39,3
50,5
104,4
180,8
35,2
35,2
37,1
124,7
32,1
40,2
104,4
53,2
40,1
117,5
35,1
92,4
-1,1
72,4
35,2
37,4
101,6
44,2
-1,2
32,2
33,1
301,9
24,1
123,5
81,2
30,2
29,2
41,1
87,2
38,1
51,2
285,6
45,3
46,1
83,2
22,1
60,1
65,1
17,1
41,2
44,1
41,2
65,1
62,3
151,6
21,1
65,1
125,2
